,channel,unionname,org,name of the channel if differs from unionname,country,channel_videos_url
231,FilleaCgilNazionale,"Federazione Italiana dei Lavoratori del Legno, dell'Edilizia, delle industrie Affini ed estrattive",CGIL,FilleaCgil,italy,https://www.youtube.com/@FilleaCgilNazionale/videos
232,cgilemiliaromagna,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,CGIL Emilia Romagna,italy,https://www.youtube.com/@cgilemiliaromagna/videos
233,Fiom-Cgil,Federazione Impiegati e Operai Metallurgici,CGIL,Fiom Nazionale,italy,https://www.youtube.com/@Fiom-Cgil/videos
234,cgilfisac,Federazione Italiana Sindacale Lavoratori Assicurazioni e Credito,CGIL,Fisac Cgil,italy,https://www.youtube.com/@cgilfisac/videos
235,sindacatoflcgil,Federazione Lavoratori della Conoscenza Cgil,CGIL,,italy,https://www.youtube.com/@sindacatoflcgil/videos
236,FunzionePubblicaCgil,Funzione Pubblica,CGIL,FunzionePubblicaCgil,italy,https://www.youtube.com/@FunzionePubblicaCgil/videos
237,cgilprato5615,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,CGIL Prato,italy,https://www.youtube.com/@cgilprato5615/videos
238,SlcCgilNazionale,Sindacato Lavoratori della Comunicazione,CGIL,SlcCgilNazionale,italy,https://www.youtube.com/@SlcCgilNazionale/videos
239,CGILRomaLazio,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,CGIL Roma Lazio,italy,https://www.youtube.com/@CGILRomaLazio/videos
240,SpiCgilNazionaleOfficial,Sindacato Pensionati Italiani,CGIL,Spi Cgil Nazionale,italy,https://www.youtube.com/@SpiCgilNazionaleOfficial/videos
241,CislItalia,Confederazione Italiana Sindacati Lavoratori,CISL,,italy,https://www.youtube.com/@CislItalia/videos
242,sindacatocislveneto,Confederazione Italiana Sindacati Lavoratori,CISL,Sindacato CISL Veneto,italy,https://www.youtube.com/@sindacatocislveneto/videos
243,FaiCislChannel,Federazione agricola alimentare ambientale industriale Italiana (FAI),CISL,Fai Cisl,italy,https://www.youtube.com/@FaiCislChannel/videos
244,FimCislStampa,Federazione Italiana Metalmeccanici (FIM),CISL,Fim Cisl Stampa,italy,https://www.youtube.com/@FimCislStampa/videos
245,PensionatiCisl,Federazione nazionale pensionati (FNP),CISL,FNP CISL Nazionale,italy,https://www.youtube.com/@PensionatiCisl/videos
246,FemcaCislNazionale,"Federazione energia, moda, chimica e affini (FEMCA)",CISL,Femca Cisl Nazionale,italy,https://www.youtube.com/@FemcaCislNazionale/videos
247,nazionaleflaeicisl4122,Federazione lavoratori aziende elettriche italiane (FLAEI),CISL,Nazionale Flaeicisl,italy,https://www.youtube.com/@nazionaleflaeicisl4122/videos
248,FIRSTCISLvideo,Federazione Italiana Reti dei Servizi del Terziario (FIRST),CISL,FIRST CISL,italy,https://www.youtube.com/@FIRSTCISLvideo/videos
249,UfficioStampaFilca,Federazione italiana lavoratori costruzioni e affini (FILCA),CISL,Filca Cisl Nazionale,italy,https://www.youtube.com/@UfficioStampaFilca/videos
250,UciIt,Unione generale coltivatori  (UGC),CISL,Unione Coltivatori Italiani,italy,https://www.youtube.com/@UciIt/videos
251,SuperUfficiostampa,Sindacato della scuola SCUOLA,CISL,Cisl Scuola,italy,https://www.youtube.com/@SuperUfficiostampa/videos
252,cislfederazioneuniversita8460,Sindacato dell'Università,CISL,Cisl Federazione Università,italy,https://www.youtube.com/@cislfederazioneuniversita8460/videos
253,SegrGenSLPCisl,Federazione dei lavoratori delle poste (SLP),CISL,SegrGenSLPCisl,italy,https://www.youtube.com/@SegrGenSLPCisl/videos
254,FitCislNaz,Federazione italiana trasporti (FIT),CISL,FIT-CISL Nazionale,italy,https://www.youtube.com/@FitCislNaz/videos
255,FirCisl,Federazione innovazione e ricerca (FIR),CISL,FirCisl,italy,https://www.youtube.com/@FirCisl/videos
256,smisindacatomediciitaliani6627,Sindacato dei medici,CISL,SMI Sindacato Medici Italiani,italy,https://www.youtube.com/@smisindacatomediciitaliani6627/videos
257,inascisl6895,Istituto Nazionale di Assistenza Sociale,CISL,INAS CISL,italy,https://www.youtube.com/@inascisl6895/videos
258,CafCislVideo,CAF CISL,CISL,Caf Cis,italy,https://www.youtube.com/@CafCislVideo/videos
259,Uilanazionale,Unione Italiana Lavoratori Agroalimentari,UIL,Uilanazionale,italy,https://www.youtube.com/@Uilanazionale/videos
260,FeNEALUilNazionale,Federazione Nazionale Lavoratori Edili e Affini e del Legno,UIL,FENEALUIL NAZIONALE,italy,https://www.youtube.com/@FeNEALUilNazionale/videos
261,UiltecNazionale,"Unione Italiana Lavoratori Tessile, Energia e Chimica",UIL,Uiltec Nazionale,italy,https://www.youtube.com/@UiltecNazionale/videos
262,faahd101,Uilm Nazionale,UIL,,italy,https://www.youtube.com/@faahd101/videos
263,Uilcanetwork,Uilca Nazionale,UIL,,italy,https://www.youtube.com/@Uilcanetwork/videos
264,UILCOMUNICAZIONE,UILCOMUNICAZIONE,UIL,,italy,https://www.youtube.com/@UILCOMUNICAZIONE/videos
265,uilpostesegreterianazional2817,Uilposte Segreteria Nazionale,UIL,,italy,https://www.youtube.com/@uilpostesegreterianazional2817/videos
266,UILTucsVideo,UILTuCS - Unione Italiana Lavoratori Turismo Commercio e Servizi,UIL,UILTuCS,italy,https://www.youtube.com/@UILTucsVideo/videos
267,uiltrasportinazionale5767,Uiltrasporti Nazionale,UIL,,italy,https://www.youtube.com/@uiltrasportinazionale5767/videos
268,uilfplnazionale2172,UIL FPL Nazionale,UIL,,italy,https://www.youtube.com/@uilfplnazionale2172/videos
269,uilscuolavideonews3956,UIL Scuola,UIL,UIL Scuola videonews,italy,https://www.youtube.com/@uilscuolavideonews3956/videos
270,uilmilanoelombardia916,UIL - Unione Italiana del Lavoro,UIL,UIL Milano e Lombardia,italy,https://www.youtube.com/@uilmilanoelombardia916/videos
271,uil-unioneitalianadellavor4538,UIL - Unione Italiana del Lavoro,UIL,,italy,https://www.youtube.com/@uil-unioneitalianadellavor4538/videos
272,cub-confederazioneunitaria1458,Confederazione del Comitati di Base (CUB),,CUB - Confederazione Unitaria di Base,italy,https://www.youtube.com/@cub-confederazioneunitaria1458/videos
273,confsalVideo,CONFSAL,,,italy,https://www.youtube.com/@confsalVideo/videos
274,unionesindacaleitalianacar4411,Unione Sindacale Italiana Carabinieri,,,italy,https://www.youtube.com/@unionesindacaleitalianacar4411/videos
275,unionesindacaleitalianafin2917,Unione Sindacale Italiana Finanzieri,,,italy,https://www.youtube.com/@unionesindacaleitalianafin2917/videos
