channel,unionname,org,name of the channel if differs from unionname,country,channel_id,channel_url,created_at,description,videos_count,subs_count,views_count
Polisforbundet,polisförbundet,TCO,,sweden,UCtKaKyYgUuD_AjWMs3liAEQ,https://www.youtube.com/channel/UCtKaKyYgUuD_AjWMs3liAEQ,2009-11-04 10:15:41+00:00,,40,161,17992
PluggavidaremedSaco,saco,Saco,Plugga vidare,sweden,UC7QG9kUSRhInJKrvPCCWhNQ,https://www.youtube.com/channel/UC7QG9kUSRhInJKrvPCCWhNQ,2012-12-11 16:09:22+00:00,"Saco – din partner i studievalet!

Här hittar du både inspiration och fakta som hjälper dig som funderar på att plugga vidare efter gymnasiet.

**Regler för vår YouTube-kanal och hur vi hanterar personuppgifter**
Vi på Saco förbehåller oss rätten att radera inlägg, kommentarer, länkar och publikationer som enligt vår bedömning är kränkande, stötande, syftar till marknadsföring av annan verksamhet, innebär marknadsmässig misskreditering, upphovsrättsintrång, brottslig verksamhet eller liknande. Det är inte tillåtet att dela känslig information om annan när du publicerar frågor och kommentarer på vår sida. 

YouTube är primärt personuppgiftsansvariga för behandlingen av dina personuppgifter på denna plattform. Däremot är Saco ansvarig för viss behandling som sker på vår kanal, därför vill vi informera dig om vår personuppgiftsbehandling. Läs mer: https://www.saco.se/sa-hanterar-vi-personuppgifter/",355,3070,843062
SacoPlay,Saco,Saco,,sweden,UCXAZiVTlz45BrmUiCfSd04w,https://www.youtube.com/channel/UCXAZiVTlz45BrmUiCfSd04w,2008-06-13 13:13:34+00:00,"Saco, Sveriges akademikers centralorganisation, består av 22 självständiga fackförbund och yrkesförbund. Tillsammans är vi 940 000 akademiker som är studenter, forskare, egenföretagare eller anställda. Läs om hur vi hanterar personuppgifter: www.saco.se/sa-hanterar-vi-personuppgifter/

Saco - The Swedish Confederation of Professional Associations is a confederation of 22 independent associations that together have 940 000 members, all of whom are academics or graduate professionals with a university or college degree. The members include economists, lawyers, physiotherapists, graduate engineers, doctors, teachers and many others. How we process personal data: www.saco.se/en/how-we-process-personal-data/",252,400,134163
saco-forbundettrafikochjar2589,Saco-förbundet Trafik och Järnväg,Saco,,sweden,UCgvpeLpMX0pZoTCner-b8Mg,https://www.youtube.com/channel/UCgvpeLpMX0pZoTCner-b8Mg,2014-12-14 18:54:32+00:00,,3,2,642
fackforbundetscenfilm1674,Fackförbundet Scen & Film,TCO,,sweden,UC9RghAU7MU3ebbhmbhbkC2A,https://www.youtube.com/channel/UC9RghAU7MU3ebbhmbhbkC2A,2021-04-23 06:57:36.915559+00:00,"Scen & Film är ett fackförbund inom scen- och filmbranschen. Medlemmarna är yrkesverksamma upphovsmän, artister, teknisk och administrativ personal inom svensk teater, film, radio, TV och bio. Förbundet organiserar både löntagare och egenföretagare.",13,14,576
sekosparfel3760,seko,LO,seko spårfel,sweden,UCG8sEVYe80R9x1V1xrhLsKA,https://www.youtube.com/channel/UCG8sEVYe80R9x1V1xrhLsKA,2015-09-16 09:06:08+00:00,,6,23,7041
sverigesarkitekter9502,Sveriges Arkitekter,Saco,,sweden,UCAkV6YAVLQWgWADqYYRn-sg,https://www.youtube.com/channel/UCAkV6YAVLQWgWADqYYRn-sg,2014-10-13 19:37:08+00:00,"Sveriges Arkitekter är fack- och branschorganisationen för alla Sveriges arkitekter och arkitektstudenter. Vi arbetar på uppdrag av våra medlemmar för att skapa bästa möjliga villkor för arkitekternas yrkesutövning.


",250,545,92592
Sverigesingenjorer,sveriges ingenjörer,Saco,,sweden,UC98nQWyAjMSDSlhYjWmbhug,https://www.youtube.com/channel/UC98nQWyAjMSDSlhYjWmbhug,2009-01-30 12:54:47+00:00,"Sveriges Ingenjörer är landets största nätverk för högskoleutbildade ingenjörer. Med 162 000 medlemmar är Sveriges Ingenjörer ett starkt fackförbund med stor handlingskraft och resurser att göra nytta. 

Sveriges Ingenjörer ger medlemmarna handfasta råd och hjälp inför till exempel löneförhandling, vid varsel, uppsägningar och omorganisationer, karriärfunderingar och studier och arbete utomlands.",243,708,205912
sverigesingenjorerdistrikn5213,sveriges ingenjörer,Saco,Sveriges Ingenjörer Distrik Norr,sweden,UCSygSy91AKlmS4EUJYgS10g,https://www.youtube.com/channel/UCSygSy91AKlmS4EUJYgS10g,2015-11-29 20:48:50+00:00,,1,1,2
Teknologvalet,sveriges ingenjörer,Saco,Teknologgruppen Sveriges Ingenjörer,sweden,UCWxK1GwKbq_HE6uPduAV7ug,https://www.youtube.com/channel/UCWxK1GwKbq_HE6uPduAV7ug,2011-12-15 14:12:00+00:00,,5,1,1171
lakarforbundet1,sveriges läkarförbund,Saco,,sweden,UCyqQbBts4-0RKaox02Yxr7Q,https://www.youtube.com/channel/UCyqQbBts4-0RKaox02Yxr7Q,2013-03-07 09:51:48+00:00,"Sveriges läkarförbund, för alla läkare under hela karriären. Läkarförbundets styrka ligger i att majoriteten av Sveriges läkare är medlemmar. Tillsammans är vi starka och kan påverka framtidens hälso- och sjukvård.

Vi arbetar med frågor som löner, arbetsmiljö och anställningsvillkor och professionsfrågor som utbildning, forskning, etik, sjukvårdspolitik, företagande och ledarskap. 

Som medlem kan du få bättre villkor och förutsättningar genom hela ditt yrkesliv. Och trygghet om du skulle hamna utanför, eller bli anmäld. Du får personlig rådgivning i frågor som exempelvis löne- och anställningsvillkor, anmälningsärenden, arbetsrätt och sjukvårdsjuridik.

Sveriges läkarförbund - den medicinska professionens organisation

lakarforbundet.se och tryggvard.se",113,1000,350440
sverigespsykologforbund1867,sveriges psykologförbund,Saco,,sweden,UCENYia66N5aeK7xy6BspZmA,https://www.youtube.com/channel/UCENYia66N5aeK7xy6BspZmA,2013-10-22 13:19:28+00:00,"Sveriges Psykologförbunds tidigare officiella Youtube-kanal. 

Sveriges Psykologförbund är den fackliga yrkesorganisationen för psykologer, studerande vid psykologprogrammen samt disputerade i psykologi och pedagogik. Förbundet bildades 1955 och har drygt 10 800 medlemmar  och tillhör Saco, Sveriges Akademikers centralorganisation.

https://www.psykologforbundet.se/",33,50,28740
sverigespsykologforbund3762,sveriges psykologförbund,Saco,,sweden,UCBRycLmbMVEmrxEzAU4xPhw,https://www.youtube.com/channel/UCBRycLmbMVEmrxEzAU4xPhw,2017-03-31 08:32:40+00:00,"Sveriges Psykologförbunds officiella Youtube-kanal. 

Sveriges Psykologförbund är den fackliga yrkesorganisationen för psykologer, studerande vid psykologprogrammen samt disputerade i psykologi och pedagogik. Förbundet bildades 1955 och har drygt 10 800 medlemmar  och tillhör Saco, Sveriges Akademikers centralorganisation.

https://www.psykologforbundet.se/",33,89,12737
Skolledarforbundet,sveriges skolledarförbund,Saco,,sweden,UC-FHTpVlVvO3LhsF8J01OWA,https://www.youtube.com/channel/UC-FHTpVlVvO3LhsF8J01OWA,2012-11-26 12:48:47+00:00,,71,42,9172
sverigestandlakarforbund6025,sveriges tandläkarförbund,Saco,,sweden,UCauo_biqcyo976kRoE0PJPA,https://www.youtube.com/channel/UCauo_biqcyo976kRoE0PJPA,2020-03-20 09:16:14.128916+00:00,"Sveriges Tandläkarförbund är den odontologiska professionens organisation och arbetar med frågor som rör tandläkarens roll i samhället. Utbildning, forskning, tandvårdens personalförsörjning, yrkesetik och kvalitet i tandvården är några av frågorna. ",26,46,3936
TCOSverige,tco,TCO,TCO Sverige,sweden,UCnQMR2ddEZ15X1nlDKRPQvQ,https://www.youtube.com/channel/UCnQMR2ddEZ15X1nlDKRPQvQ,2009-06-09 13:39:24+00:00,"TCO är en påverkansorganisation som arbetar för goda villkor i arbetslivet för landets tjänstemän. Ordförande är Therese Svanström. Våra prioriterade frågor just nu är bättre utvecklingsmöjligheter i arbetslivet genom ökat utbildningsutbud och studiefinansiering för yrkesverksamma, en skattereform som gynnar utbildning, ansvarstagande och företagande och en jämställd föräldraförsäkring och minskat arbetstidsgap mellan kvinnor och män.",407,677,122295
Transportfacket,transportarbetareförbundet,LO,Transportfacket,sweden,UCaMeND50vB9M387u0xW4Krw,https://www.youtube.com/channel/UCaMeND50vB9M387u0xW4Krw,2011-10-05 08:05:23+00:00,"Gå med i Svenska Transportarbetareförbundet du med! Vi bildades 1897 och har cirka 57 000 medlemmar. Tillsammans blir vi starkare och kan påverka mer. Vi gör skillnad!
",93,361,261133
tidningenkollega2125,unionen,TCO,tidningen kollega,sweden,UCTQ8GLiTTJ5z0etjsZzNMlQ,https://www.youtube.com/channel/UCTQ8GLiTTJ5z0etjsZzNMlQ,2014-03-05 16:08:36+00:00,Kollega.se är som fackförbundet Unionens medlemstidning och -webb Sveriges största organisationstidning. Här publicerar vi webb-tv. ,86,49,39492
UnionenTV,unionen,TCO,,sweden,UCdpEwMCubrhME2BxV6coxAg,https://www.youtube.com/channel/UCdpEwMCubrhME2BxV6coxAg,2009-01-30 15:24:44+00:00,"Unionen är fackförbundet för alla tjänstemän i det privata arbetslivet. Alla utbildningar och alla befattningar, i alla former och på alla nivåer är välkomna. Vi tror på att samla alla krafter på arbetsplatsen i samma fackförbund.",202,1340,1993492
unionenklubbenpahp4534,unionen,TCO,unionen klubben på hp,sweden,UCJggBDimVnnbXBqSqHFIjiw,https://www.youtube.com/channel/UCJggBDimVnnbXBqSqHFIjiw,2012-04-14 07:40:10+00:00,,3,2,564
UnionenSjuHall,unionen,TCO,unionen sjuhall,sweden,UCc4qPu4Jp-Mg6aWkaxWNkBw,https://www.youtube.com/channel/UCc4qPu4Jp-Mg6aWkaxWNkBw,2010-02-01 14:49:46+00:00,,1,2,530
unionenstudent,unionen,TCO,unionen student,sweden,UCNLJeVmhfySWjmC-f1MdEwA,https://www.youtube.com/channel/UCNLJeVmhfySWjmC-f1MdEwA,2012-08-03 12:01:08+00:00,"Unionen Student är Unionens medlemskap för dig som studerar på högskola eller universitet. Det kostar bara 100 kronor för hela studietiden och ger dig krafter utöver det vanliga – både under studietiden och i jakten på drömjobbet.

Läs mer på www.unionen.se/Student",23,92,312320
unionensydvast2682,unionen,TCO,unionen sydväst,sweden,UCzY2EPhrsvyC-IEl6ifSgsw,https://www.youtube.com/channel/UCzY2EPhrsvyC-IEl6ifSgsw,2014-04-17 09:14:31+00:00,,8,2,1781
unionensydvast2180,unionen,TCO,unionen sydvast,sweden,UCQlAjQCbf7oJr-1l2QleelQ,https://www.youtube.com/channel/UCQlAjQCbf7oJr-1l2QleelQ,2020-03-24 13:21:16.541698+00:00,,0,17,0
studentivision,vision,TCO,studentivision,sweden,UCV45FbHDaqB3gFm1E2CFUKw,https://www.youtube.com/channel/UCV45FbHDaqB3gFm1E2CFUKw,2012-10-30 11:55:10+00:00,"Vision är ett av Sveriges ledande fackförbund och har 173 000 medlemmar, både studenter och de i arbetslivet. Ett medlemskap handlar om en sak. Att du ska få ut så mycket som möjligt av ditt studentliv och framtida arbetsliv.
",3,4,301
tidningenvision,vision,TCO,tidningen vision,sweden,UCl2HcBkgWwmnwudj3bUuOdg,https://www.youtube.com/channel/UCl2HcBkgWwmnwudj3bUuOdg,2011-11-28 16:32:14+00:00,,22,11,7630
visionlandstingsavdelninge2720,vision,TCO,vision landstingsavdelningen värmland,sweden,UC8SD9HyyhNcL2o-Z-Gnrpxw,https://www.youtube.com/channel/UC8SD9HyyhNcL2o-Z-Gnrpxw,2015-06-03 06:34:22+00:00,,1,1,245
visionstockholmsstad8384,vision,TCO,vision stockholms stad,sweden,UCWThvSBL3Lhv1GO1nJkRSlA,https://www.youtube.com/channel/UCWThvSBL3Lhv1GO1nJkRSlA,2015-07-17 13:36:03+00:00,,3,0,442
visiongoteborg,vision,TCO,visiongoteborg,sweden,UC8M8-Gd_04kf6RM4yVVXx1g,https://www.youtube.com/channel/UC8M8-Gd_04kf6RM4yVVXx1g,2011-12-07 11:19:17+00:00,,43,13,9757
visionkanalen,vision,TCO,,sweden,UCqgTSJN9vvh3tUOM_BI_V8g,https://www.youtube.com/channel/UCqgTSJN9vvh3tUOM_BI_V8g,2011-12-02 15:34:27+00:00,"Vision är rätt fackförbund för dig som arbetar inom kommun, landsting, region, kyrka eller i ett bolag med koppling till välfärden. Våra medlemmar leder, utvecklar och administrerar välfärden.

Vision är ett av de största fackförbunden för tjänstemän i offentlig verksamhet. Att vi är stora innebär att vi har mest att säga till om när vi ska förhandla om ditt kollektivavtal, som reglerar din lön och dina arbetsvillkor. Vision kan göra skillnad, både för dig på din arbetsplats och i utvecklingen av framtiden jobb. Vision är partipolitiskt obundna och ingår i TCO.

Vision finns på de flesta arbetsplatser och du är automatiskt med i en avdelning eller klubb. Dina lokala fackliga företrädare är experter på din arbetsplats. Vill du förändra något på ditt jobb som gäller till exempel arbetsmiljö eller andra villkor, är Vision rätt plattform för dig.",46,463,426337
VisionNorrkoping,vision,TCO,visionnorrkoping,sweden,UCNiZyFlorHg1yVZqRnVL6_w,https://www.youtube.com/channel/UCNiZyFlorHg1yVZqRnVL6_w,2013-02-10 21:46:11+00:00,,3,0,222
Visionscenter,vision,TCO,Visionscenter,sweden,UCxI9Vr6m1q34SdkiWaRvcwg,https://www.youtube.com/channel/UCxI9Vr6m1q34SdkiWaRvcwg,2011-09-11 10:01:43+00:00,,4,1,175
vardforbundet1,vårdförbundet,TCO,,sweden,UC8_zshAzdVoOMoYT1shuQSw,https://www.youtube.com/channel/UC8_zshAzdVoOMoYT1shuQSw,2010-01-08 22:56:09+00:00,"Vårdförbundet är ett växande yrkesförbund som tillvaratar medlemmarnas fackliga intressen. Vi är 114 000 sjuksköterskor, barnmorskor, biomedicinska analytiker och röntgensjuksköterskor som arbetar för en personcentrerad nära vård och ett hållbart yrkesliv. Tillsammans utvecklar vi villkor, yrke och vård.",434,559,570338
Syndikalisterna,SAC Syndikalisterna,SAC,,sweden,UCFDQIGi0-belXatgA5EdSnw,https://www.youtube.com/channel/UCFDQIGi0-belXatgA5EdSnw,2010-08-19 13:35:08+00:00,"Facket som förändrar! 
SAC är en direktdemokratisk fackförening som tillvaratar medlemmarnas intressen på jobbet.

www.sac.se",49,235,10568
akademikerforbundet35,Akademikerforbundet,Unio,,norway,UC7tCgqbuP9yaAhatUY-QRzA,https://www.youtube.com/channel/UC7tCgqbuP9yaAhatUY-QRzA,2019-10-28 12:34:27.080898+00:00,"Er du akademiker?

Akademikerforbundet er medlemsorganisasjonen for personer med minimum tre års universitets- eller høyskoleutdanning, dvs. minst 60 vekttall / 180 studiepoeng.

Akademikerforbundet har profesjonsmangfold – hos oss finner du et faglig fellesskap med barnevernspedagoger, vernepleiere, sosionomer, statsvitere, psykologer, økonomer og jurister, for å nevne noen.

Medlemmene jobber hovedsakelig innen administrasjon, ledelse, økonomi, personalforvaltning, generell saksbehandling og IKT. Akademikerforbundet dekker alle tariffområder med unntak av NHO-sektoren, så du trenger ikke bytte forbund fordi du bytter jobb.

Akademikerforbundet er ett av tretten medlemsforbund i Unio, som er landets nest største hovedorganisasjon på arbeidstakersiden.

Akademikerforbundet har de senere år hatt en sterk medlemsvekst og har pr. 1. januar 2019 4981 medlemmer.


",29,15,1199
akademikerne802,Akademikerne,Akademikerne,,norway,UCllIoXfxaGV1tp61CAOuAfQ,https://www.youtube.com/channel/UCllIoXfxaGV1tp61CAOuAfQ,2016-08-31 12:38:46+00:00,Akademikerne er en arbeidstakerorganisasjon for langtidsutdannede. Medlemmene er yrkesorganisasjoner for folk med utdanning fra universitet eller vitenskapelig høyskole. Akademikerne består av 13 foreninger.,86,22,9207
arbeiderbevegelsenspressef193,Arbeiderbevegelsens Presseforbund,LO Norge,,norway,UC3Xpm0DGRD7-PpOZ1I_gL4A,https://www.youtube.com/channel/UC3Xpm0DGRD7-PpOZ1I_gL4A,2020-05-01 11:46:01.653465+00:00,,3,1,66
creoforbundetforkunstogkul5297,Creo,LO Norge,,norway,UCB1ss6xey8hfhzzFm4tOmAA,https://www.youtube.com/channel/UCB1ss6xey8hfhzzFm4tOmAA,2020-06-24 09:22:17.405345+00:00,"Med over 9000 medlemmer er Creo Norges største kunstnerorganisasjon. Vi arbeider for å sikre medlemmene våre bedre lønns, - og arbeidsvilkår, enten de er arbeidstakere eller selvstendig næringsdrivende. Creo er tilsluttet Landsorganisasjonen i Norge (LO).",1,3,22
delta-enarbeidstakerorgani8787,Delta,YS,,norway,UCcyfVzcmMo9pIclAvzvo7Kg,https://www.youtube.com/channel/UCcyfVzcmMo9pIclAvzvo7Kg,2015-04-15 06:30:18+00:00,"Delta organiserer ca 90.000 medlemmer og er den største arbeidstakerorganisasjonen i YS.

Deltas visjon er å skape balanse mellom individuelle og kollektive behov, mellom arbeid og fritid, mellom privat og offentlig sektor, mellom kvinne og mann, samt mellom ung og gammel. I et arbeidsliv i balanse er det rom for alle og man tar vare på alle uavhengig av bakgrunn, livsfase eller situasjon.

Deltas historie strekker seg tilbake til 1898 da vi ble etablert som en av de første fagforeningene for offentlige funksjonærer. Vi har derfor lang og bred erfaring med å ivareta våre medlemmers interesser, også når ansettelsesforhold endres som følge av reformer og endringer i organiseringen av offentlige tjenester.  

www.delta.no",244,381,157123
Legeforeningen,Den norske legeforening,Akademikerne,,norway,UC97439CI7gj2gdiuKcVVt-Q,https://www.youtube.com/channel/UC97439CI7gj2gdiuKcVVt-Q,2008-09-24 09:39:27+00:00,Den norske legeforening er en medlemsorganisasjon for leger og medisinstudenter. Foreningen er engasjert i medisinskfaglige spørsmål og helsepolitikk og jobber for medlemmenes lønns- og arbeidsvilkår.,304,551,232891
dennorsketannlegeforening4791,Den norske tannlegeforening,Akademikerne,,norway,UCR7vIDpfYnY2jSjmOuk0C_g,https://www.youtube.com/channel/UCR7vIDpfYnY2jSjmOuk0C_g,2012-12-20 10:37:30+00:00,,34,30,6696
dennorskeveterinrforening1311,Den norske veterinærforening,Akademikerne,,norway,UCZpurAHOA91qGyIjtIZih7Q,https://www.youtube.com/channel/UCZpurAHOA91qGyIjtIZih7Q,2018-11-28 10:14:06+00:00,,6,22,115
detnorskemaskinistforbund2350,Det norske maskinistforbund,Unio,,norway,UCOuQFrAYNG191utMREFlVIg,https://www.youtube.com/channel/UCOuQFrAYNG191utMREFlVIg,2019-10-30 09:22:41.315040+00:00,,17,11,2306
econahioahioa3397,Econa,Akademikerne,,norway,UCbkwG8TzLd-jeXk_OJ6W-UQ,https://www.youtube.com/channel/UCbkwG8TzLd-jeXk_OJ6W-UQ,2015-10-24 13:07:44+00:00,,1,1,205
EconaTV,Econa,Akademikerne,,norway,UCas9FCBOWLeGS9sfAgaoorg,https://www.youtube.com/channel/UCas9FCBOWLeGS9sfAgaoorg,2011-12-15 07:51:10+00:00,"Econa er interesse- og arbeidstakerorganisasjonen for studenter, siviløkonomer og masterutdannede innen økonomisk-administrative fag. Vi har 25 000 medlemmer. Econa jobber for å skape verdi for medlemmene og vise hvordan medlemmene skaper verdi for samfunnet.",50,29,515541
elogitforbundet3053,EL og IT Forbundet,LO Norge,,norway,UC_hMNuzsZVcG6c0kN117bLA,https://www.youtube.com/channel/UC_hMNuzsZVcG6c0kN117bLA,2016-08-08 12:29:57+00:00,"EL og IT Forbundet - Norges største fagforbund for ansatte innenfor IKT, energi og el-installasjon.",21,16,2928
fagforbundet3762,Fagforbundet,LO Norge,,norway,UCCdpSxnjh1ZUoxhYgPrLyHg,https://www.youtube.com/channel/UCCdpSxnjh1ZUoxhYgPrLyHg,2010-05-31 10:26:30+00:00,"Fagforbundet er Norges største arbeidstakerorganisasjon, på vei mot 340 000 medlemmer og over 200 yrkesgrupper. Gjennom omtanke, samhold og solidaritet vil Fagforbundet bedre medlemmenes lønns- og arbeidsvilkår og trygge arbeidsplassene. Fagforbundet organiserer arbeidstakere i kommunale, fylkeskommunale, statlige, private og offentlige virksomheter, også sykehusene med alle støttefunksjoner. Lærlinger, skoleelever og studenter er også velkomne som medlemmer.
Se www.fagforbundet.no
Medlemmer logger seg inn på http://medlem.fagforbundet.no/",477,986,2149193
fellesforbundet4310,Fellesforbundet,LO Norge,,norway,UCW7rJrCPi9LVxLqrzTLOT7A,https://www.youtube.com/channel/UCW7rJrCPi9LVxLqrzTLOT7A,2014-01-08 12:38:45+00:00,Fellesforbundet er LOs største forbund i privat sektor. Vi har rundt 150 000 medlemmer. På vår Youtube-kanal finner du korte snutter om oss og hva vi arbeider med.,24,28,7915
fellesungdom,Fellesforbundet,LO Norge,fellesungdom,norway,UCUW1GEPZPjPwNomd-T-POpg,https://www.youtube.com/channel/UCUW1GEPZPjPwNomd-T-POpg,2009-01-20 10:00:56+00:00,,1,9,2189
fellesorganisasjonenfo1764,Fellesorganisasjonen (FO),LO Norge,,norway,UCHdaRC2PmbXJZIH2-kmBJ0w,https://www.youtube.com/channel/UCHdaRC2PmbXJZIH2-kmBJ0w,2014-04-01 15:52:48+00:00,"Fellesorganisasjonen (FO) er fagforeningen og profesjonsforbundet for om lag 31 000 barnevernspedagoger, sosionomer, vernepleiere og velferdsvitere. Studenter og pensjonister innen disse yrkesgruppene kan også være medlem av FO. 

FO er både fagforening og profesjonsforbund. Det betyr at vi jobber for å bedre medlemmenes lønns- og arbeidsforhold og ivareta deres yrkesfaglige interesser. Samtidig skal FO vise nødvendigheten av yrkesgruppenes kompetanse og synliggjøre yrkesgruppenes rolle som viktig premissleverandør og bidragsytere i velferdsstaten.

FO driver påvirkningsarbeid innenfor tariffpolitikk, helse- og sosialpolitikk, kvinnepolitikk, likestillingspolitikk og internasjonalt arbeid. Over 80 prosent av FOs medlemmer er kvinner.

FO er ett av medlemsforbundene i Landsorganisasjonen (LO), og har avdelinger i alle landets fylker.",67,153,35012
finansforbundet1,Finansforbundet ,YS,,norway,UCebpFgBgxgF7esdixazBN-g,https://www.youtube.com/channel/UCebpFgBgxgF7esdixazBN-g,2010-03-17 12:40:04+00:00,"Vi jobber for at du som ansatt i finans og teknologi skal få:
💰 Bedre lønnsvilkår
👨🏻‍💻 Riktig kompetanse
💚 En attraktiv arbeidsplass
www.finansforbundet.no
",62,321,1293071
forbundetforledelseogtekni9092,Forbundet for Ledelse og Teknikk,LO Norge,,norway,UCAsIx5EhznIXZ2EbLBwWemw,https://www.youtube.com/channel/UCAsIx5EhznIXZ2EbLBwWemw,2017-11-17 16:08:21+00:00,,79,11,4467
forfatterforbundet,Forfatterforbundet,LO Norge,,norway,UCopNn1_d0YaGqhbcJHMp3ag,https://www.youtube.com/channel/UCopNn1_d0YaGqhbcJHMp3ag,2020-10-21 12:29:58.137165+00:00,"Forfatterforbundet er en fagforening for skjønnlitterære forfattere som utgir bøker i Norge. I vår YouTube-kanal vil vi dele informasjon, tips og råd som kan bidra til at du som forfatter får enda bedre kår for å skrive og publisere din litteratur.",6,12,715
ForskerforbundetOslo,Forskerforbundet,Unio,,norway,UCjHxHObQF__jWic2WI0dJjg,https://www.youtube.com/channel/UCjHxHObQF__jWic2WI0dJjg,2016-11-15 14:45:25+00:00,"Fag- og interesseorganisasjon for 24 000 kunnskapsarbeidere og studenter. 
www.forskerforbundet.no",101,224,42165
forskerforbundetuio1352,Forskerforbundet,Unio,,norway,UCc_nuBMR5bjdcIlw536DiiQ,https://www.youtube.com/channel/UCc_nuBMR5bjdcIlw536DiiQ,2020-09-08 13:54:04.882661+00:00,,2,10,419
hkinorge2871,Handel og Kontor i Norge (HK),LO Norge,,norway,UCMqHsdGki-MyVHyQDYOSiGA,https://www.youtube.com/channel/UCMqHsdGki-MyVHyQDYOSiGA,2014-06-19 12:09:25+00:00,,45,87,9846
hovedorganisasjonenunio8488,Hovedorganisasjonen for universitets- og høyskoleutdannede (Unio),Unio,,norway,UCcAsO_0etmT0suPz0iXZq1A,https://www.youtube.com/channel/UCcAsO_0etmT0suPz0iXZq1A,2018-10-01 09:50:58+00:00,,1,2,116
industriEnergi,Industri Energi (IE),LO Norge,,norway,UCPwst_Sr4-2ZPXGVr2LzobQ,https://www.youtube.com/channel/UCPwst_Sr4-2ZPXGVr2LzobQ,2010-04-19 10:27:56+00:00,"Industri Energi er et fagforbund for ansatte innen olje-, gass- og landindustri. Med våre over 56.000 medlemmer er vi det fjerde største forbundet i LO. Forbundet har rundt 85 ansatte fordelt på kontorene i Stavanger og Oslo.",300,179,76696
Juristforbundet,Juristforbundet,Akademikerne,,norway,UCgNUuridNeUwhTUt_6E7xCw,https://www.youtube.com/channel/UCgNUuridNeUwhTUt_6E7xCw,2010-09-07 13:00:56+00:00,,49,215,66884
KOL1909/featured,Krigsskoleutdannede offiserers landsforening,Akademikerne,,norway,UC_hyx3LEk6RuqdoX9zzRc0A,https://www.youtube.com/channel/UC_hyx3LEk6RuqdoX9zzRc0A,2010-09-13 12:09:28+00:00,,1,0,370
kriminalomsorgensyrkesforb8157,Kriminalomsorgens Yrkesforbund ,YS,,norway,UCDOg8HLlrQV5u0ybz8cKmVA,https://www.youtube.com/channel/UCDOg8HLlrQV5u0ybz8cKmVA,2013-12-19 12:21:41+00:00,"Kriminalomsorgens Yrkesforbund (KY) er en partipolitisk uavhengig organisasjon for ansatte i kriminalomsorgen som har som hovedmål å ivareta medlemmenes økonomiske, faglige og arbeidsmiljømessige interesser. 
KY er en demokratisk organisasjon som alltid har medlemmet i fokus. 

KY skal drive påvirkning og fremme sine synspunkter og meninger i alle fora, blant annet ved å møte politikere, svare på høringer og være synlige i media. KY skal også samarbeide med alle som har felles interesser. KY vil søke samarbeid med nordiske fagorganisasjoner og videreføre samarbeidet med europeiske fagorganisasjoner. 
KY skal opptre profesjonelt, både når det gjelder verving, møter med arbeidsgiver, i media og andre arenaer. 
KY skal være det foretrukne forbundet for alle tilsatte i kriminalomsorgen.

",13,20,9867
lonorge,LO Norge,LO Norge,,norway,UCmtDsXz2RHluSaotDtYODsQ,https://www.youtube.com/channel/UCmtDsXz2RHluSaotDtYODsQ,2010-06-09 10:52:34+00:00,Landsorganisasjonen i Norge (LO) er Norges største lønnstakerorganisasjon. Over 970 000 medlemmer er organisert i fagforbund som er tilsluttet LO.,366,516,251643
naturviterne,Naturviterne,Akademikerne,,norway,UC1tmYiX8Y0Rb17d72lLvNbg,https://www.youtube.com/channel/UC1tmYiX8Y0Rb17d72lLvNbg,2009-03-25 08:49:59+00:00,"Naturviterne er fagforeningen for akademikere med naturvitenskapelig utdanning og kompetanse i Norge.
Vår visjon er å bli det naturlige førstevalg for alle naturvitere med hjerte for bærekraft. 

Subscribe for å se de siste videoene.",45,164,57480
NegotiaEtYSForbund,Negotia,YS,,norway,UC1tytLFRCbEhkSNz-t7kI3w,https://www.youtube.com/channel/UC1tytLFRCbEhkSNz-t7kI3w,2019-02-06 11:33:43+00:00,"Negotia organiserer over 21 500 mennesker i alle typer funksjonærstillinger i privat sektor. 

Medlemskapet i Negotia kan sammenlignes med en forsikring. Dersom noe skulle skje med deg i arbeidslivet, så har du et sikkerhetsnett i ryggen som hjelper deg gjennom. 
De fleste av oss tror ikke at noe vil skje med jobben vår, og enda færre vet konsekvensene dersom det verste skulle skje.

De fleste av oss tror heller ikke at huset vårt kan bli brannskadet, at bilen krasjer, at vi mister bagasjen på ferie mm., men dette kan skje, og da er det trygt og godt å vite at noen står klar til å hjelpe.

I tillegg til å forsikre jobben din, så tilbyr Negotia gratis kurs og kompetanseheving, vi har en av landets beste forsikringsordninger gjennom Gjensidige og mange andre flotte medlemsfordeler - ta en titt på www.negotia.no 

Negotia er tilknyttet YS. Vi er partipolitisk uavhengig, hvilket betyr at ingen av dine innbetalte penger går med til å støtte politiske partier i Norge.

Vi holder til i Oslo",42,137,6809
